MB	Food No.	Food Name	Anal Type	Sample Qualifier	Replicate No.	Element	Conc	Unit	Trace	LOD	LOQ	Result Qualifier and Remarks	Method	Instrument	Batch ID
200301	1	"Milk, whole, fluid"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	1	"Milk, whole, fluid"	O			Cadmium	0	mg/kg		0.002	0.005		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	1	"Milk, whole, fluid"	O			Calcium	1070	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	1	"Milk, whole, fluid"	O			Copper	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	1	"Milk, whole, fluid"	O			Iron	0	mg/kg		0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	1	"Milk, whole, fluid"	O			Lead	0	mg/kg		0.007	0.03		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	1	"Milk, whole, fluid"	O			Magnesium	105	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	1	"Milk, whole, fluid"	O			Manganese	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	1	"Milk, whole, fluid"	O			Mercury	0	mg/kg		0.01	0.04		KCM TD M4 & E6 (CVAAS; Hg; Food)	CVAAS	301
200301	1	"Milk, whole, fluid"	O			Nickel	0	mg/kg		0.02	0.05		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	1	"Milk, whole, fluid"	O			Phosphorus	902	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	1	"Milk, whole, fluid"	O			Potassium	1520	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	1	"Milk, whole, fluid"	O			Selenium	0.019	mg/kg	TR	0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	1	"Milk, whole, fluid"	O			Sodium	402	mg/kg		7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	1	"Milk, whole, fluid"	O			Zinc	4.02	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	2	"Milk, lowfat (2%), fluid"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	2	"Milk, lowfat (2%), fluid"	O			Cadmium	0	mg/kg		0.002	0.005		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	2	"Milk, lowfat (2%), fluid"	O			Calcium	1090	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	2	"Milk, lowfat (2%), fluid"	O			Copper	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	2	"Milk, lowfat (2%), fluid"	O			Iron	0	mg/kg		0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	2	"Milk, lowfat (2%), fluid"	O			Lead	0	mg/kg		0.007	0.03		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	2	"Milk, lowfat (2%), fluid"	O			Magnesium	110	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	2	"Milk, lowfat (2%), fluid"	O			Manganese	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	2	"Milk, lowfat (2%), fluid"	O			Mercury	0	mg/kg		0.01	0.04		KCM TD M4 & E6 (CVAAS; Hg; Food)	CVAAS	301
200301	2	"Milk, lowfat (2%), fluid"	O			Nickel	0	mg/kg		0.02	0.05		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	2	"Milk, lowfat (2%), fluid"	O			Phosphorus	926	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	2	"Milk, lowfat (2%), fluid"	O			Potassium	1550	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	2	"Milk, lowfat (2%), fluid"	O			Selenium	0.02	mg/kg	TR	0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	2	"Milk, lowfat (2%), fluid"	O			Sodium	418	mg/kg		7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	2	"Milk, lowfat (2%), fluid"	O			Zinc	4.1	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	3	"Milk, chocolate, lowfat, fluid"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	3	"Milk, chocolate, lowfat, fluid"	O			Cadmium	0.002	mg/kg	TR	0.002	0.005		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	3	"Milk, chocolate, lowfat, fluid"	O			Calcium	1060	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	3	"Milk, chocolate, lowfat, fluid"	O			Copper	0.3	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	3	"Milk, chocolate, lowfat, fluid"	O			Iron	2.13	mg/kg	TR	0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	3	"Milk, chocolate, lowfat, fluid"	O			Lead	0	mg/kg		0.007	0.03		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	3	"Milk, chocolate, lowfat, fluid"	O			Magnesium	137	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	3	"Milk, chocolate, lowfat, fluid"	O			Manganese	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	3	"Milk, chocolate, lowfat, fluid"	O			Nickel	0.076	mg/kg		0.02	0.05		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	3	"Milk, chocolate, lowfat, fluid"	O			Phosphorus	929	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	3	"Milk, chocolate, lowfat, fluid"	O			Potassium	1670	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	3	"Milk, chocolate, lowfat, fluid"	O			Selenium	0.027	mg/kg	TR	0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	3	"Milk, chocolate, lowfat, fluid"	O			Sodium	824	mg/kg		7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	3	"Milk, chocolate, lowfat, fluid"	O			Zinc	4.31	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	4	"Milk, skim, fluid"	O			Arsenic	0.015	mg/kg	TR	0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	4	"Milk, skim, fluid"	O			Cadmium	0	mg/kg		0.001	0.004		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	319
200301	4	"Milk, skim, fluid"	O			Calcium	1170	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	4	"Milk, skim, fluid"	O			Copper	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	4	"Milk, skim, fluid"	O			Iron	0	mg/kg		0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	4	"Milk, skim, fluid"	O			Lead	0.023	mg/kg		0.005	0.02		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	319
200301	4	"Milk, skim, fluid"	O			Magnesium	112	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	4	"Milk, skim, fluid"	O			Manganese	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	4	"Milk, skim, fluid"	O			Nickel	0	mg/kg		0.01	0.04		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	319
200301	4	"Milk, skim, fluid"	O			Phosphorus	969	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	4	"Milk, skim, fluid"	O			Potassium	1560	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	4	"Milk, skim, fluid"	O			Selenium	0.026	mg/kg	TR	0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	4	"Milk, skim, fluid"	O			Sodium	416	mg/kg		7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	4	"Milk, skim, fluid"	O			Zinc	4.3	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	7	"Milk shake, chocolate, fast-food"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	7	"Milk shake, chocolate, fast-food"	O			Cadmium	0	mg/kg	TR	0.002	0.005		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	7	"Milk shake, chocolate, fast-food"	O			Calcium	1220	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	7	"Milk shake, chocolate, fast-food"	O			Copper	0.338	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	7	"Milk shake, chocolate, fast-food"	O			Iron	3.49	mg/kg		0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	7	"Milk shake, chocolate, fast-food"	O			Lead	0	mg/kg		0.007	0.03		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	7	"Milk shake, chocolate, fast-food"	O			Magnesium	159	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	7	"Milk shake, chocolate, fast-food"	O			Manganese	0.3	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	7	"Milk shake, chocolate, fast-food"	O			Nickel	0.147	mg/kg		0.02	0.05		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	7	"Milk shake, chocolate, fast-food"	O			Phosphorus	1090	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	7	"Milk shake, chocolate, fast-food"	O			Potassium	2140	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	7	"Milk shake, chocolate, fast-food"	O			Selenium	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	7	"Milk shake, chocolate, fast-food"	O			Sodium	664	mg/kg		7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	7	"Milk shake, chocolate, fast-food"	O			Zinc	5.1	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	10	"Cheese, American, processed"	O			Arsenic	0	mg/kg		0.02	0.05		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	10	"Cheese, American, processed"	O			Cadmium	0.005	mg/kg	TR	0.003	0.01		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	315
200301	10	"Cheese, American, processed"	O			Calcium	5030	mg/kg		4	20		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	10	"Cheese, American, processed"	O			Copper	0	mg/kg		0.4	2		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	10	"Cheese, American, processed"	O			Iron	1.04	mg/kg	TR	0.9	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	10	"Cheese, American, processed"	O			Lead	0.024	mg/kg	TR	0.02	0.05		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	315
200301	10	"Cheese, American, processed"	O			Magnesium	266	mg/kg		4	20		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	10	"Cheese, American, processed"	O			Manganese	0	mg/kg		0.4	2		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	10	"Cheese, American, processed"	O			Nickel	0	mg/kg		0.03	0.1		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	315
200301	10	"Cheese, American, processed"	O			Phosphorus	6280	mg/kg		20	50		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	10	"Cheese, American, processed"	O			Potassium	2540	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	10	"Cheese, American, processed"	O			Selenium	0.163	mg/kg		0.02	0.05		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	10	"Cheese, American, processed"	O			Sodium	16500	mg/kg		9	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	10	"Cheese, American, processed"	O			Zinc	24.4	mg/kg		0.4	2		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	12	"Cheese, cheddar, natural (sharp/mild)"	O			Arsenic	0	mg/kg		0.02	0.05		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	12	"Cheese, cheddar, natural (sharp/mild)"	O			Cadmium	0	mg/kg		0.003	0.01		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	12	"Cheese, cheddar, natural (sharp/mild)"	O			Calcium	7320	mg/kg		4	20		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	12	"Cheese, cheddar, natural (sharp/mild)"	O			Copper	0	mg/kg		0.4	2		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	12	"Cheese, cheddar, natural (sharp/mild)"	O			Iron	1.27	mg/kg	TR	0.9	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	12	"Cheese, cheddar, natural (sharp/mild)"	O			Lead	0	mg/kg		0.02	0.05		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	12	"Cheese, cheddar, natural (sharp/mild)"	O			Magnesium	294	mg/kg		4	20		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	12	"Cheese, cheddar, natural (sharp/mild)"	O			Manganese	0	mg/kg		0.4	2		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	12	"Cheese, cheddar, natural (sharp/mild)"	O			Nickel	0	mg/kg		0.03	0.1		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	12	"Cheese, cheddar, natural (sharp/mild)"	O			Phosphorus	5140	mg/kg		20	50		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	12	"Cheese, cheddar, natural (sharp/mild)"	O			Potassium	1060	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	12	"Cheese, cheddar, natural (sharp/mild)"	O			Selenium	0.186	mg/kg		0.02	0.05		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	12	"Cheese, cheddar, natural (sharp/mild)"	O			Sodium	6420	mg/kg		9	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	12	"Cheese, cheddar, natural (sharp/mild)"	O			Zinc	42.5	mg/kg		0.4	2		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	13	"Beef, ground, regular, pan-cooked"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	13	"Beef, ground, regular, pan-cooked"	O			Cadmium	0.002	mg/kg	TR	0.002	0.007		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	315
200301	13	"Beef, ground, regular, pan-cooked"	O			Calcium	109	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	13	"Beef, ground, regular, pan-cooked"	O			Copper	0.806	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	13	"Beef, ground, regular, pan-cooked"	O			Iron	24.6	mg/kg		0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	13	"Beef, ground, regular, pan-cooked"	O			Lead	0	mg/kg		0.01	0.04		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	315
200301	13	"Beef, ground, regular, pan-cooked"	O			Magnesium	221	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	13	"Beef, ground, regular, pan-cooked"	O			Manganese	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	13	"Beef, ground, regular, pan-cooked"	O			Nickel	0	mg/kg		0.03	0.08		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	315
200301	13	"Beef, ground, regular, pan-cooked"	O			Phosphorus	2000	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	13	"Beef, ground, regular, pan-cooked"	O			Potassium	3320	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	13	"Beef, ground, regular, pan-cooked"	O			Selenium	0.188	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	13	"Beef, ground, regular, pan-cooked"	O			Sodium	628	mg/kg		7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	13	"Beef, ground, regular, pan-cooked"	O			Zinc	60.5	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	14	"Beef roast, chuck, oven-roasted"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	14	"Beef roast, chuck, oven-roasted"	O			Cadmium	0	mg/kg		0.002	0.007		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	14	"Beef roast, chuck, oven-roasted"	O			Calcium	53.5	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	14	"Beef roast, chuck, oven-roasted"	O			Copper	0.853	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	14	"Beef roast, chuck, oven-roasted"	O			Iron	26.7	mg/kg		0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	14	"Beef roast, chuck, oven-roasted"	O			Lead	0	mg/kg		0.01	0.04		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	14	"Beef roast, chuck, oven-roasted"	O			Magnesium	202	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	14	"Beef roast, chuck, oven-roasted"	O			Manganese	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	14	"Beef roast, chuck, oven-roasted"	O			Nickel	0	mg/kg		0.03	0.08		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	14	"Beef roast, chuck, oven-roasted"	O			Phosphorus	1860	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	14	"Beef roast, chuck, oven-roasted"	O			Potassium	2900	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	14	"Beef roast, chuck, oven-roasted"	O			Selenium	0.266	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	14	"Beef roast, chuck, oven-roasted"	O			Sodium	551	mg/kg		7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	14	"Beef roast, chuck, oven-roasted"	O			Zinc	86.8	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	17	"Ham, cured (not canned), baked"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	17	"Ham, cured (not canned), baked"	O			Cadmium	0.009	mg/kg	TR	0.003	0.01		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	17	"Ham, cured (not canned), baked"	O			Calcium	71.9	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	17	"Ham, cured (not canned), baked"	O			Copper	0.519	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	17	"Ham, cured (not canned), baked"	O			Iron	6.69	mg/kg		0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	17	"Ham, cured (not canned), baked"	O			Lead	0.054	mg/kg		0.02	0.05		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	17	"Ham, cured (not canned), baked"	O			Magnesium	189	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	17	"Ham, cured (not canned), baked"	O			Manganese	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
